number of bedrooms,Price
1,308963.75
2,398547.57212581346
3,463277.5592861464
4,636198.8109652837
5,773766.3988868274
6,837581.4772727273
7,1016543.9
8,1208454.5454545454
9,776666.3333333334
10,820000.0
11,520000.0
33,640000.0
